mixture_ID,source_1_SNR,source_2_SNR,source_3_SNR
5189-37999-0012_666-11244-0000_8825-292253-0007,-5.867897031429181,-3.9116671682876882,0.1683971550715764
6235-36641-0113_6160-44912-0004_3157-168062-0002,-2.7237869097929313,-4.450251707736868,-2.0271682532917494
4586-61776-0025_1296-138074-0048_4427-12471-0014,-5.624396333846031,-1.1411424002054968,-2.5874418667335073
217-122443-0069_3289-171107-0008_1422-149735-0020,-0.6152249381127733,-6.186161661014355,-2.8598053413641256
3816-19585-0027_8725-294551-0018_1348-135832-0010,-0.25709242080036177,-7.092201412193429,-2.6643977713801887
7095-88484-0019_8097-108005-0054_6378-61780-0006,-6.872863091460752,-3.755654455645799,0.5318237728517107
3294-167597-0025_7967-104986-0040_3171-7574-0006,-6.180052189786722,1.9318406565403448,-6.101358132647415
8195-117382-0051_6574-70756-0018_4064-77779-0028,-4.35569477872004,-1.6807328609050132,-3.017334526326756
1552-140651-0033_6082-56174-0050_4490-16003-0014,2.1218588556658933,-10.465298233164075,-3.988498340919171
3490-177638-0016_6215-62347-0026_3513-7741-0007,2.7996239318459266,-6.572721653991689,-7.115420691309265
5054-18527-0039_4973-44575-0030_3001-160952-0052,-9.344767604463076,-10.95715591315855,6.707601303919106
7484-39971-0066_3738-164927-0028_8194-89388-0022,-4.475757213214975,-9.013165187663724,2.2517567433650036
606-121661-0043_242-122627-0029_1482-140067-0033,-4.483656403576296,-3.166793069730164,-1.525983567684269
2010-147045-0023_8266-279363-0003_7837-109174-0046,-2.072913096662629,-3.584681149422917,-3.502131167564622
246-122825-0012_2920-156224-0006_1448-135894-0060,5.240345952433634,-9.944732571860545,-7.919965338602028
770-131704-0031_593-126928-0039_4222-187005-0010,0.6694694945853195,-4.266486591569643,-6.342603441761801
5133-80690-0051_510-130103-0033_3728-105398-0038,-2.0853965897377913,-1.6972967981078813,-5.620866215396934
6828-64738-0043_1165-135216-0009_6006-60489-0024,-3.048759148551089,-6.380455471068038,-0.3816574918747087
1801-138032-0003_126-122467-0077_81-121543-0114,-1.6088793822163918,-4.172523849157414,-3.360237988421597
2494-156015-0049_6828-64738-0004_4595-45218-0015,1.008061465546344,-4.863820941088833,-6.109945819859215
5115-26950-0032_2696-157636-0008_272-130225-0004,0.8642021404641598,-4.246303897016842,-6.658883213733758
4381-14897-0015_8742-245707-0002_4856-20410-0014,-6.681966665013875,1.5929763358216753,-5.283401943674476
3072-155949-0014_671-131030-0036_2045-158081-0102,-4.2361812575828335,0.5706487849017199,-6.226907892534641
1387-130989-0032_7285-72200-0006_511-131228-0039,-7.48043399333718,-7.520949723386268,3.6243129767155082
589-146346-0022_2929-86777-0023_90-121085-0012,-3.536268278144786,-4.904182714677274,-0.862495532945148
8887-281471-0023_3446-144019-0018_4243-14929-0018,-6.640859416712138,-7.121596990013313,2.8764499404191786
3224-168198-0007_5809-51162-0012_17-362-0024,-2.8159846852305948,0.2715620268977847,-7.768559819589697
6494-60800-0001_8742-245708-0018_7481-101276-0066,0.2260947037444043,-5.552583368077797,-4.17742951690609
5984-56840-0022_497-129325-0000_38-121024-0067,1.3316249927171624,-14.66687798594263,-1.9363979872253476
28-12332-0095_1222-141174-0024_5802-76043-0036,0.32006619499257716,-1.6229978995062198,-10.938288318219882
6099-67860-0014_4860-13185-0045_954-130627-0016,-0.8346443888179884,-8.97790903465432,-1.0644293488745662
