mixture_ID,source_1_SNR,source_2_SNR,source_3_SNR
7447-91187-0056_5778-12761-0012_5750-100289-0028,-5.393289772598083,-1.0598558978826391,-2.8485784954875877
7113-86041-0017_4813-248641-0032_3235-11599-0014,-6.36494745889713,2.3649397308225852,-6.564823435428723
4018-107338-0010_2843-152918-0057_7859-102519-0013,-1.4909221439971159,-0.7693139890657894,-8.257724385163481
6081-41998-0007_26-495-0044_7226-86964-0021,-3.1368165133208388,-0.5849659646874082,-5.752463148227892
6437-66172-0002_4788-294466-0002_5652-19215-0042,-3.852122232017152,-1.69675878839706,-3.592960427572077
1455-138263-0017_4088-158079-0009_5678-43301-0010,-2.332204766256548,-2.1513860715970803,-4.773406836237333
2159-179156-0007_7402-59171-0024_6529-62554-0038,-4.455628194421333,0.5790907910643595,-5.933543035510147
5049-25947-0008_3664-11714-0030_7402-90848-0001,-2.5861102024010387,-2.3748482760358107,-4.252073525994124
412-126975-0050_4397-15668-0005_6000-86686-0011,-3.5597224091898654,-3.541537133886881,-1.9625240184758954
8226-274371-0018_8468-295198-0019_1098-133695-0000,1.1272638004616382,-8.65897046148982,-3.4077752159250156
8770-295462-0040_1235-135884-0029_6818-76332-0015,-2.8357178699798613,-0.19743430439814788,-6.867123219956279
2952-410-0004_6476-57446-0012_8098-278252-0008,-4.344991686069087,-2.0683258702401317,-2.6541548042945085
4362-15663-0036_7059-77900-0031_1455-134435-0048,-3.6385624432871992,-3.608130515463584,-1.8779078272896446
311-124404-0095_3374-298032-0018_6385-34655-0005,-0.751375543095455,-2.5001831734803486,-6.409511593391492
8797-294123-0034_8747-293952-0099_4441-76263-0042,-3.8832296549975567,-2.202821672317499,-2.8296097905234956
831-130746-0011_4481-17498-0035_5688-41232-0036,2.6020292441923054,-7.676264477350124,-5.796699048825253
8747-293952-0085_4195-186238-0005_7178-34644-0000,-4.297071895406689,-5.428260778621904,0.022434863531319158
2159-179156-0019_4137-11702-0023_26-496-0016,-0.031496657332883385,-5.265285063315553,-4.2529605707988285
405-130895-0018_3857-182315-0039_1737-146161-0012,-1.4612166373213271,-3.2892744239686182,-4.400660331191922
3857-182315-0030_5393-19218-0026_1034-121119-0065,-0.08566139990851421,-3.904948208923768,-5.517980497238324
5867-48852-0005_5789-57195-0018_60-121082-0029,-4.3620185095463935,-2.4966228823663164,-2.2658402826139317
200-124139-0030_5688-41232-0060_1098-133695-0051,-2.5247759706944315,-3.7867926682047957,-2.719479116999328
6078-54013-0034_5104-33406-0012_2416-152137-0011,-1.9948650352195174,-4.027204983589927,-3.0178630489677607
