mixture_ID,source_1_SNR,noise_SNR
7447-91187-0056_5778-12761-0012_5750-100289-0028,-0.6160523420635767,0.6160513871508166
7113-86041-0017_4813-248641-0032_3235-11599-0014,4.420253328575925,-4.420255379609622
4018-107338-0010_2843-152918-0057_7859-102519-0013,5.8293462891994725,-5.829347598922148
6081-41998-0007_26-495-0044_7226-86964-0021,-1.1819459095573313,1.1819450951956452
6437-66172-0002_4788-294466-0002_5652-19215-0042,-0.11453635398703298,0.11453550539747144
1455-138263-0017_4088-158079-0009_5678-43301-0010,8.697960837392916,-8.697963072587418
2159-179156-0007_7402-59171-0024_6529-62554-0038,1.5761279887261004,-1.5761293601616808
5049-25947-0008_3664-11714-0030_7402-90848-0001,6.276040903227945,-6.276042911303087
412-126975-0050_4397-15668-0005_6000-86686-0011,4.13888619773903,-4.1388879026339005
8226-274371-0018_8468-295198-0019_1098-133695-0000,5.275045406806513,-5.275046148238086
8770-295462-0040_1235-135884-0029_6818-76332-0015,1.6324967632228502,-1.6324976868622252
2952-410-0004_6476-57446-0012_8098-278252-0008,2.8059051525910634,-2.8059063188487414
4362-15663-0036_7059-77900-0031_1455-134435-0048,1.8655654429995918,-1.865566646492467
311-124404-0095_3374-298032-0018_6385-34655-0005,6.30794537482605,-6.307947072934165
8797-294123-0034_8747-293952-0099_4441-76263-0042,5.5973646860467205,-5.597366982641443
831-130746-0011_4481-17498-0035_5688-41232-0036,9.702061837663301,-9.702063975231246
8747-293952-0085_4195-186238-0005_7178-34644-0000,4.990428802598225,-4.990430411917365
2159-179156-0019_4137-11702-0023_26-496-0016,11.12380412177478,-11.123806499385582
405-130895-0018_3857-182315-0039_1737-146161-0012,4.355488563095261,-4.355491694627711
3857-182315-0030_5393-19218-0026_1034-121119-0065,-0.44957759281469234,0.4495769364246657
5867-48852-0005_5789-57195-0018_60-121082-0029,6.52390232422837,-6.523903682571154
200-124139-0030_5688-41232-0060_1098-133695-0051,7.252257151101488,-7.252258859516151
6078-54013-0034_5104-33406-0012_2416-152137-0011,7.311480864947696,-7.311483478103988
3440-171006-0008_8088-284756-0061_403-216-0006,6.2249257632673425,-6.224926901133441
831-130746-0050_6563-63821-0008_118-124588-0005,8.075810636814658,-8.075812516102122
8123-275216-0003_7264-92310-0005_5104-33406-0053,-2.5872961934328655,2.5872949223441783
6454-120342-0018_7226-86965-0039_5393-19219-0012,-3.531465335477797,3.531464671735165
6415-111615-0014_5808-48608-0055_8226-274369-0043,-0.41217286285770266,0.4121721920953645
6385-220959-0029_5703-47198-0014_8095-274346-0042,5.188844878661058,-5.18884676592717
1594-135914-0014_250-142286-0004_887-123291-0036,8.851033720000967,-8.851035570045378
1263-139804-0024_2002-139469-0012_4397-15666-0012,4.284116475343543,-4.2841178906434845
4898-28461-0048_7190-90542-0056_211-122442-0030,8.751254166358711,-8.751256193553958
1737-148989-0002_426-122821-0024_2159-179157-0010,-1.364990693377832,1.3649883594737275
7302-86815-0061_332-128985-0068_2289-152254-0008,7.337199063783606,-7.337200142267029
1624-168623-0004_4267-78186-0018_909-131044-0024,8.096675696484429,-8.096678037317357
4813-248641-0049_200-126784-0015_2391-145015-0093,0.03085582875867808,-0.030856722547281612
2136-5147-0026_8770-295465-0029_3486-166424-0027,2.18627114069411,-2.186272082426677
2092-145706-0004_7264-92314-0000_2836-5354-0004,0.38869792584643964,-0.38869907934234404
7078-271888-0113_1246-124548-0031_1334-135589-0077,5.561049898829921,-5.561051856322794
4406-16883-0014_4680-16042-0016_5808-48608-0037,-0.9086553063562497,0.9086545139486342
3240-131231-0004_8838-298545-0009_1455-134435-0051,2.0291107848775356,-2.0291127673688982
254-12312-0010_200-124139-0023_1867-154075-0020,5.46830582608989,-5.468307680735243
6529-62556-0026_7148-7763-0000_198-126831-0039,-0.8286291941668134,0.8286287109416102
2691-156750-0015_60-121082-0054_3259-158083-0054,4.728179864007983,-4.728181866022147
831-130739-0002_118-47824-0041_328-129766-0071,-3.6301067514729417,3.6301054308318577
8238-283452-0045_1594-135914-0010_2436-2476-0019,1.1388315610660729,-1.1388334685324604
7367-86737-0071_6880-216547-0094_2764-36616-0010,6.133042811688123,-6.133045164625943
6181-216552-0073_4018-107312-0024_3374-298025-0031,4.194092030684908,-4.194092584477638
4362-15663-0012_1737-142397-0018_302-123516-0031,4.883986565755405,-4.8839893497402285
4813-248641-0050_89-219-0041_8629-261139-0026,0.3457398140182749,-0.34574087633415573
5703-47198-0003_8465-246943-0019_412-126975-0030,3.5449741257828604,-3.5449750575185264
4195-186238-0012_2989-138028-0018_458-126290-0005,1.2964802444231494,-1.296481082865667
5703-47212-0022_6454-93938-0011_887-123290-0021,9.809888902010957,-9.809890185703306
6836-61804-0018_89-218-0015_3983-5331-0041,-0.9527118601198441,0.9527112654750997
89-219-0012_163-122947-0089_26-495-0071,5.821816316547346,-5.821817426482303
831-130746-0037_7402-90848-0014_328-129766-0037,8.533445002339743,-8.533447390000417
125-121124-0023_6454-107462-0005_7190-90543-0009,-1.4978589259416344,1.4978576600918403
4051-10927-0022_4813-248641-0002_8312-279790-0020,1.7115469251912099,-1.7115478133888118
730-360-0002_248-130644-0032_5022-29405-0014,4.7455828599058005,-4.745584566846715
8770-295462-0004_8238-274553-0047_78-368-0015,8.756336509474407,-8.75633799248258
2893-139310-0026_5104-33406-0034_2007-132570-0011,0.7544269584256312,-0.7544291881031905
2893-139322-0006_1116-137572-0016_322-124146-0021,2.766076259099315,-2.766077663158785
6385-34655-0024_8098-275181-0018_196-122152-0003,1.2683549181729248,-1.2683568870834059
3807-4923-0025_2989-138028-0001_125-121124-0055,-1.020849397125403,1.0208486296701227
5390-30096-0031_27-124992-0058_6181-216552-0064,9.802889818077798,-9.802891357741121
5390-24512-0039_4340-15220-0092_1069-133709-0038,1.5098624308228847,-1.5098639563848428
1578-6379-0009_587-54108-0014_405-130894-0007,7.502830874875858,-7.502832959342017
8629-261140-0041_2092-145706-0060_2289-152257-0009,0.051262506467523936,-0.05126381943198198
8630-305213-0011_6367-65536-0028_8098-278252-0028,8.856119475700643,-8.85612182346312
3857-182315-0003_7264-92314-0008_8095-274346-0009,-3.0251792684317365,3.0251782137154857
8088-284756-0063_302-123523-0016_6181-216552-0028,-3.3661305281697778,3.3661285088444757
3240-131231-0068_909-131045-0002_1246-124548-0003,6.475039574170596,-6.475040930481728
5049-25947-0011_412-126975-0064_8975-270782-0112,-1.0434337742841915,1.0434335339790128
1594-135914-0126_3259-158083-0042_7059-88364-0033,0.5468457410048162,-0.5468467783423231
322-124146-0016_2518-154825-0036_4297-13009-0047,4.364683046693873,-4.364685930136743
3857-182315-0037_8975-270782-0013_1578-6379-0016,3.1403993688683496,-3.140399939670606
7148-82991-0002_8468-294887-0015_8238-283452-0013,1.4515151704542921,-1.4515167530779696
481-123720-0006_374-180298-0063_8797-294123-0001,-1.220784193821824,1.2207834647107565
5393-19218-0023_211-122442-0070_831-130739-0041,-0.42870400581232315,0.4287026637482987
2989-138028-0061_39-121914-0022_5322-7679-0013,6.324979566806728,-6.324980763917009
4267-287369-0004_445-123860-0014_8098-275181-0030,0.9776792458407018,-0.9776799389317582
5561-41616-0027_587-54108-0012_4051-11218-0046,3.2035824071332564,-3.2035837307670825
